ENA_Run	COG_ID
ERR5169051	CAMB-75F63
ERR5168889	CAMB-75F72
ERR5169047	CAMB-75F81
ERR5168908	CAMB-75F90
ERR5168918	CAMB-75FBE
ERR5168897	CAMB-75FCD
ERR5168929	CAMB-75FDC
ERR5169099	CAMB-75FEB
ERR5168937	CAMB-75FFA
ERR5169092	CAMB-76005
ERR5169082	CAMB-76023
ERR5168787	CAMB-76041
ERR5168881	CAMB-76050
ERR5168817	CAMB-7606F
ERR5168859	CAMB-7607E
ERR5168822	CAMB-7608D
ERR5169109	CAMB-7609C
ERR5168847	CAMB-760AB
ERR5168928	CAMB-760BA
ERR5168695	CAMB-760C9
ERR5169177	CAMB-760D8
ERR5168694	CAMB-760E7
ERR5168856	CAMB-760F6
ERR5168632	CAMB-76102
ERR5168860	CAMB-76111
ERR5168611	CAMB-76120
ERR5168592	CAMB-7614E
ERR5168870	CAMB-7615D
ERR5168735	CAMB-7616C
ERR5169159	CAMB-7617B
ERR5168906	CAMB-7618A
ERR5168901	CAMB-761A8
ERR5169151	CAMB-761B7
ERR5168898	CAMB-761C6
ERR5169030	CAMB-761D5
ERR5168894	CAMB-761E4
ERR5169042	CAMB-761F3
ERR5168890	CAMB-7620F
ERR5168966	CAMB-7621E
ERR5168886	CAMB-7622D
ERR5168883	CAMB-7624B
ERR5168879	CAMB-76269
ERR5169038	CAMB-76278
ERR5168877	CAMB-76287
ERR5168874	CAMB-762A5
ERR5169137	CAMB-762B4
ERR5168871	CAMB-762C3
ERR5169181	CAMB-762D2
ERR5168868	CAMB-762E1
ERR5169036	CAMB-762F0
ERR5168864	CAMB-7630C
ERR5168952	CAMB-7631B
ERR5168862	CAMB-7632A
ERR5168936	CAMB-76339
ERR5168861	CAMB-76348
ERR5168857	CAMB-76366
ERR5169163	CAMB-76375
ERR5169179	CAMB-76384
ERR5169115	CAMB-76393
ERR5169176	CAMB-763A2
ERR5168992	CAMB-763B1
ERR5169173	CAMB-763C0
ERR5169169	CAMB-763EE
ERR5169083	CAMB-763FD
ERR5169165	CAMB-76409
ERR5168973	CAMB-76418
